Name_ga,Url_game_hg,Url_game_lavka,Image_HG,Slogan,Tags,Price,Player,Time,Age,Year,Manufacture,Equipment,Description,Language,Image_lavka,Rating_bgg,Rating_tesera,Image_gaga,Plus,Feature,Minus,Resume,Rules,Url_game_gaga
Манчкин Квест,https://hobbygames.ru/manchkin-kvest-4-e-rus-izd,https://www.lavkaigr.ru/shop/igry-dlya-vecherinok/munchkin-dungeon-side-quest/,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Munchkin/1000/Munchkin_Quest400-1000x416-wm.jpg,Больше коробка – больше приключений!,"Манчкин,Игры для компании,Приключенческие игры,Семейные игры",2 990 ,2-4,90+,12+,2015,Hobby World,"200 карт,27 жетонов Здоровья,72 жетона золотых монет,12 жетонов скинутых шмоток,18 жетонов шагов,12 жетонов результатов обыска,4 счётчика уровней,4 жетона Манчкинов,16 подставок,24 комнаты,Жетон входа,72 жетона стыков,38 жетонов монстров,10 кубиков,Правила игры ,Размер коробки: 298х298х71 мм,Размер карт: 63x88 мм (рекомендуются протекторы из данного раздела,200 шт.),Вес: 1.56 кг","  С этим дополнением в игре открывается ряд побочных квестов. Чтобы их выполнить, вам нужно будет делать крутые штуки, типа ""Быть побежденным"" или ""Победить Бродячего Монстра не перебрасывая кубики (Ха!)"". ...Но нафига?... Обычно вы бы и пальцем не пошевелили, чтобы выполнить эти раздражающие квесты, правильно? Но вот в чем подвох: выполняя их, вы зарабатываете уровни! (не забывайте, что квесты лежат в открытую и другие герои тоже могут положить на них глаз).  ",Английский,,,,https://gaga.ru/gaga/files/images/fullsize/37/12.jpg,,,,Красочная и наглядная переработка привычного Манчкина. Фирменный юмор и обилие возможностей персонажа (спец. карточки Deus ex Munchkin) не оставят равнодушным ни одного любителя ролевых игр. Купить настольную игру Манчкин Квест рекомендуется всем поклонникам серии. Вынести собственное суждение о нововведениях можно только в процессе игры.,https://gaga.ru//gaga/files/pdf/rules/ru/37-326050.pdf,https://gaga.ru/game/munchkin-quest/
Манчкин Котэ,https://hobbygames.ru/manchkin-kote,https://www.lavkaigr.ru/shop/kartochnye/manchkin-kote/,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Munchkin/Munch_Kote/Manchkin_Koteh00-1000x416-wm.jpg,"Погладь кота. Погладь кота, манчкин!","Манчкин,Игры для компании,Карточные игры",390 ,3-6,30+,12+,2017,Hobby World,"30 карт,Правила игры ,Размер коробки: 135х68х28 мм,Размер карт: 56x87 мм,Вес: 0.054 кг","  Первые котэ появились на Земле около 25 миллионов лет назад. Но это не точно! К счастью, с тех пор они немного изменились, привыкли к манчкинам и, слава богу, немного уменьшились. Котэ стали неотъемлемой частью для всего человечества! Мы впускаем их в свою жизнь (или они пускают нас в свою?), а затем котэ занимают там господствующее положение. Котиков любят все, ведь они очень крутые! При чём тут ""Манчкин""? А при том, что в подземельях они тоже водятся! ""Манчкин: Котэ"" – это небольшое тематическое расширение для оригинального ""Манчкина"", хотя кто вам сможет запретить смешать его с какой-нибудь другой игрой серии?.. Прекрасно подойдёт для всех любителей ""Манчкина"" или котиков, то есть, вообще для всех! Внутри вы найдёте 30 новых карт – 21 карту дверей и 9 карт сокровищ с потрясающими артами. Милые котики покажут вам всё своё обаяние и свирепость! Готовьтесь встретить новых монстров: ""Дона Мурлеоне"", ""Толпу Котиков"" или ""Котят-поварят""! Без новых шмоток дело тоже не обойдётся, чего стоит хотя бы ""Кошка-девятиголовка"" или карта ""Достигни просветления""!  ",,https://media.lavkaigr.ru/cache/66/b3/66b33826f9e64cfef648c7b6b914837f.png,,,https://gaga.ru/gaga/files/images/fullsize/3347/2.jpg,,,,,https://gaga.ru//gaga/files/pdf/rules/ru/3347-350250.pdf,https://gaga.ru/game/munchkin-kittens/
Манчкин Принцессы,https://hobbygames.ru/manchkin-princessi,https://www.lavkaigr.ru/shop/kartochnye/manchkin-princessy/,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Munchkin/Munch_Princes/Manchkin_Princessy00-1000x416-wm.jpg,"Манеры, этикет и топоры","Манчкин,Игры для компании,Карточные игры",390 ,3-6,30+,12+,2017,Hobby World,"15 карт,Правила игры ,Размер коробки: 135х68х28 мм,Размер карт: 56x87 мм,Вес: 0.035 кг","  ""Манчкин: Принцессы"" – это небольшое тематическое расширение для оригинального ""Манчкина"", хотя кто вам сможет запретить смешать его с какой-нибудь другой игрой серии?.. Все мы легко представим себе настоящую Принцессу – статная и благородная, облачённая в изысканные, но не вычурные одеяния, образованная и обладающая забытыми сегодня манерами и этикетом… Эх нет, здесь у нас ""Манчкин"", тут всё это не работает. Приготовьтесь к тому, что принцесса всё же окажется не прекрасной, а ужасной… На острых каблуках и с топором наперевес здешние принцессы выносят подземелья как бывалые наёмники! Кстати, пол – тоже не проблема, у нас тут полная демократия – принцесской смогут стать и мужчины, даже орки или дворфы. Все смогут прикоснуться к прекрасному! Внутри вы найдёте 15 новых карт – 9 карт дверей и 6 карт сокровищ. Помимо новых монстров (""Сводная сестра-уродка"") и шмоток (""Баскетболка""), в комплекте вы найдёте две карты принцесс. Эти карты не считают ни за класс, ни за расу, поэтому принцессой сможет стать кто угодно. Помимо статуса, обретённого величия и невероятной красоты, игроки получают новую способность – в бою без помощников принцесски получают +3 за каждого монстра в бою, что весьма неплохо.  ",,https://media.lavkaigr.ru/cache/81/03/8103f6fbe39740950939f4414884a537.png,,,https://gaga.ru/gaga/files/images/fullsize/3349/2.jpg,,,,,https://gaga.ru//gaga/files/pdf/rules/ru/3349-350602.pdf,https://gaga.ru/game/munchkin-princesses/
Манчкин Пупсы,https://hobbygames.ru/manchkin-pupsi,https://www.lavkaigr.ru/shop/igry-dlya-vecherinok/manchkin-pupsy/,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Munchkin_Babies/hg/Babies_00-1000x416-wm.JPG,"Такой маленький, а уже манчкин","Вечериночные игры,Манчкин,Игры для компании,Карточные игры",990 ,3-6,30+,12+,2023,Hobby World,"168 карт,Розовый кубик,Правила игры ,Размер коробки: 235х157х47 мм,Размер карт: 56х87 мм (рекомендуются протекторы из данного раздела,168 шт.),Вес: 0.366 кг","  В это может быть сложно поверить, но даже самые крутые манчкины не всегда были такими. В прошлом они представляли из себя невероятно милых малышей! Вместо мечей и луков им служили боевые погремушки и свистульки, а вместо кошмарных чудовищ им противостояли садовые огры и те самые монстры-под-кроватью. Тут, разумеется, не грех и за спиной старшего товарища спрятаться – если, конечно, станет слишком страшно! Готовьте бронеподгузники и любимую кашку – мы отправляемся в легендарное приключение! Вперёд, к десятому уровню! ""Манчкин: Пупсы"" – полностью самостоятельная игра, которую можно играть как есть, так и смешать с другими играми серии. Она основана на классической версии ""Манчкина"", только стала намного более милой – новые шмотки точно придутся бравым ребятам по вкусу!  ",Русский,https://media.lavkaigr.ru/cache/db/33/db33b56c9659cc84e9ddb8ed98fda4a9.png,,,https://gaga.ru/gaga/files/images/fullsize/6838/10.jpg,,,,,https://gaga.ru//gaga/files/pdf/rules/ru/6838.pdf,https://gaga.ru/game/manchkin-pupsi/
Манчкин Рыцари,https://hobbygames.ru/manchkin-ricari,https://www.lavkaigr.ru/shop/kartochnye/manchkin-rycari/,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Munchkin/Munch_Knight/Manchkin_Rycari00-1000x416-wm.jpg,"Драконы, принцессы, турниры, манчкины","Манчкин,Игры для компании,Карточные игры",390 ,3-6,30+,12+,2017,Hobby World,"15 карт,Правила игры ,Размер коробки: 135х68х28 мм,Размер карт: 56x87 мм,Вес: 0.035 кг","  ""Манчкин: Рыцари"" – это небольшое тематическое расширение для оригинального ""Манчкина"", хотя кто вам сможет запретить смешать его с какой-нибудь другой игрой серии?.. Рыцари в стальных латах всегда представляли собой символ мужества, доблести, отваги и чести… Но не только не в ""Манчкине""! Здешние рыцари и слов-то таких не знают! Тупые, неуклюжие и в громыхающих доспехах рыцари привыкли пользоваться грубой силой, так что вам предстоит адаптироваться к новым противникам. Подумайте пока, что удобнее вскрывать доспехи… Внутри вы найдёте 15 новых карт – 11 карт дверей и 4 карты сокровищ. Рыцари ополчились на манчкинов, так что готовьтесь встретить новых монстров: ""Галатника"", ""Бронепоезд Ласточку"" или ""Рыцаря ордена Диджеев"". Без новых шмоток дело тоже не обойдётся, чего стоит хотя бы ""Вязаный шлем""!  ",,https://media.lavkaigr.ru/cache/70/86/7086748ded5f3408c4b2a814c8648475.png,,,https://gaga.ru/gaga/files/images/fullsize/3351/2.jpg,,,,,https://gaga.ru//gaga/files/pdf/rules/ru/3351-350608.pdf,https://gaga.ru/game/munchkin-knights/
Манчкин Хипстеры,https://hobbygames.ru/manchkin-hipsteri,https://www.lavkaigr.ru/shop/kartochnye/manchkin-hipstery/,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Munchkin/Munchkin_Hipstery/Manchkin_Hipstery00-1000x416-wm.jpg,Есть риск быть покусанным хипстером!,"Манчкин,Игры для компании,Карточные игры",390 ,3-6,30+,12+,2017,Hobby World,"30 карт,Правила игры ,Размер коробки: 135х68х28 мм,Размер карт: 56x87 мм,Вес: 0.054 кг","  Хотите сыграть в ""Манчкина"" до того, как это стало бы мейнстримом? Увы, слишком поздно! Но ещё есть время влезть в нереально зауженные джинсы, надеть вязаный жилет и шарфик, отрастить усы, схватить свой любимый обезжиренный декаф в одну руку и планшет во вторую, чтобы замочить побольше монстров корпоративной машины! Двигайтесь против системы, будьте в тренде! ""Манчкин: Хипстеры"" – это небольшое тематическое расширение для оригинального ""Манчкина"", хотя кто вам сможет запретить смешать его с какой-нибудь другой игрой серии?.. Внутри вы найдёте 30 новых карт – 14 карт дверей и 16 карт сокровищ с потрясающими артами. Готовьтесь встретить новых монстров, например, ""Инди-группу""; новые шмотки (успокоим, ""Свитер"" в наборе есть). Помимо этого, игра предлагает вам возможность самим очутиться в коже хипстера! Он способен игнорироваться любые ограничения на шмотках! Если шмотка модная, то настоящий хипстер найдёт способ пустить её в дело!  ",,https://media.lavkaigr.ru/cache/91/f3/91f3dcb5bf47dcf97c2ae79951c50e00.png,,,https://gaga.ru/gaga/files/images/fullsize/3350/2.jpg,,,,,https://gaga.ru//gaga/files/pdf/rules/ru/3350-350603.pdf,https://gaga.ru/game/munchkin-hipsters/
Манчкин Чудо-Монстры,https://hobbygames.ru/manchkin-chudo-monstri,https://www.lavkaigr.ru/shop/kartochnye/manchkin-chudo-monstry/,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Munchkin/Munchkin_chudo_mosnry/Manchkin_CHudo_Monstry00-1000x416-wm.jpg,"Пожалуй, самый сумасбродный ""Манчкин""!","Вечериночные игры,Манчкин,Игры для компании,Карточные игры",990 ,3-6,30+,12+,2017,Hobby World,"168 карт,Кубик,Правила игры ,Размер коробки: 235х157х47 мм,Размер карт: 56x87 мм,Вес: 0.378 кг","  В скитаниях по подземелью манчкины набрели на фантастических тварей и место, где они обитают. Тебя там встретит огнегривый кенгутух, исполненный очей спрутконос и с ними небесный крокофилин. Что же делать с таким выводком? Чокнутый маг-биолог, который их сотворил, просит тебя поскорее ЗАМОЧИТЬ этих монстров, потому что в его лаборатории не хватает места для новых. Ну что, манчкин: надо значит надо. Этот «Манчкин» — самый сумасбродный из всех, в какие ты играл. Чтобы уцелеть в чудо-зверинце, придётся вышибать клин клином. Прочные ослолаты уберегут тебя от когтей тигриллы, шапочка с пум-пони скроет уши от бесчеловечного воя вувузебры, а бобёр-топор сразит наповал пролетающего мимо бумерангутанга. Когда достигнешь десятого уровня, не забудь исполнить на фламингитаре победную коду. «Манчкин: Чудо-монстры» — самостоятельная игра. Играй в неё как есть или смешивай с другими наборами как душе угодно.  ",Русский,https://media.lavkaigr.ru/cache/34/01/340182b9f9afa99a3a3570477dde1dfa.png,,,https://gaga.ru/gaga/files/images/fullsize/3352/2.jpg,,,,,https://gaga.ru//gaga/files/pdf/rules/ru/3352-350618.pdf,https://gaga.ru/game/manchkin-chudo-monstri/
Манчкин: Как Замочить Дракона,https://hobbygames.ru/manchkin-kak-zamochit-drakona,https://www.lavkaigr.ru/shop/kartochnye/manchkin-kak-zamochit-drakona/,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Munchkin/Munchkin_Kak_Zamochit_Drakona/Manchkin_Kak_Zamochit_Drakona00-1000x416-wm.jpg,Драконов много не бывает – копьё и молот помогают!,"Манчкин,Игры для компании,Карточные игры",390 ,3-6,30+,12+,2018,Hobby World,"15 карт,Правила игры ,Размер коробки: 135х68х28 мм,Размер карт: 56x87 мм,Вес: 0.035 кг","  Ну что ж, не одним Плутониевым Драконом живы будем! Зря вы, конечно, разворошили их змеиное гнездо – теперь драконы повсюду, нам столько и не надо было… Выбирайте на любой вкус – огромные и крошечные, гениальные и безмозглые, любвеобильные и… андеды, куда же без андедов. Ну и как их всех замочить? Сейчас научим… ""Манчкин. Как замочить дракона"" – это небольшое тематическое расширение для классического ""Манчкина"", однако никто не запретит вам добавить драконов в любой из доступных сеттингов! Драконы в космосе или на пиратском корабле? Почему бы и нет?! Чем больше вакханалии, тем лучше, да? Набор включает в себя целых пятнадцать новых карт, среди которых 11 дверей и 4 сокровища, включая одного Скакуна. Все новые карты просто замешиваются в вашу колоду, а при желании легко извлекаются из неё, так как все карты помечены специальным символом. Встречайте новых потрясающих монстров: очаровательную ""Дракошу Ростову"" и ""Драгопника"", поджидающего в подворотне! Скорее опробуйте новые шмотки и становитесь ""Драконорожденным"" (получив заодно ещё и уровень). Основная фишка дополнения, как вы уже поняли, это драконы. И неспроста! Дело в том, что этот отдельный класс монстров обладает набор особенностей: Драконы считаются драконами, если в их оригинальном названии есть Dragon, Serpent или Wyrm В бой с драконом можно подкидывать других драконов без помощи карты ""Бродячая тварь"". Это также относится к андедам и акулам У драконов иммунитет к огненным и пламенным шмоткам, то есть бонусов вы не получаете А вот большие шмотки дают против драконов аж удвоенный бонус!  ",,https://media.lavkaigr.ru/cache/71/7f/717fdac846714dfa0bc59298385a6c01.png,,,https://gaga.ru/gaga/files/images/fullsize/6129/11.jpg,,,,,https://gaga.ru//gaga/files/pdf/rules/ru/6129.pdf,https://gaga.ru/game/manchkin-kak-zamochit-drakona/
Маракайбо,https://hobbygames.ru/maracaibo,https://www.lavkaigr.ru/shop/strategicheskie/marakaibo/,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Maracaibo/Maracaibo-3d_box_rozn-1000x416-wm.jpg,Бизнес на Карибах!,"Стратегические игры,Хардкорные игры,Экономические игры",5 990 ,1-4,30+,12+,2020,Hobby World,"Игровое поле,4 планшета кораблей,265 карт: ,157 карт путешествия,77 карт сюжета,8 карт достижений,8 карт грандиозных сооружений,15 карт Автомы (для режима одиночной игры),171 жетон: ,58 жетонов дублонов,24 жетона зданий,13 жетонов городов,4 жетона сюжета,23 жетона наследия,20 жетонов атрибутов,25 жетонов сражения,4 жетона победных очков,40 деревянных фигурок: ,32 фигурки матросов,4 фигурки кораблей,4 фигурки исследователей,163 деревянные фишки: ,12 фишек влияния,4 фишки победных очков,12 фишек уровней,96 круглых фишек,39 фишек контроля,4 планшета-памятки,Правила игры ,Размер коробки: 298x298x71 мм,Размер карт: 57x89 мм (рекомендуются протекторы из данного раздела,265 шт.),Рекомендуемые органайзеры для хранения компонентов: ,UCF Standart 20 мм (2 шт.),UCF Standart 30 мм (2 шт.),UCF Standart 40 мм (3 шт.),UTS Euro Token (2 шт.),Мешочек 150x150 мм (2 шт.),Вес: 2.04 кг","  Карибское море, XVII век. Европейские страны ведут борьбу за политическое и экономическое влияние в регионе. Многие искатели приключений желают заручиться поддержкой великих держав в надежде обрести богатство и славу. В игре «Маракайбо» вы станете мореплавателем, желающим испытать свою удачу. Соберите команду и отправьтесь в увлекательное путешествие по Карибскому морю. Каждое действие может привести вас к победе: торгуйте с городами или выполняйте задания, сражайтесь с пиратами или отправляйтесь в экспедиции, нанимайте помощников или улучшайте свой корабль. А если вам улыбнётся удача, вы даже сможете привести к господству на Карибах флот союзного государства. Поднять паруса! Курс на Маракайбо! Свободный режим и режим кампании. В «Маракайбо» можно играть как в свободном режиме, так и в режиме кампании с механикой «наследия». Кампания окунёт вас в водоворот приключений, где вы станете героями захватывающей истории. От принятых вами решений будет зависеть дальнейший ход игры, а вместе с ним будет меняться и игровое поле. Но несмотря на это, все изменения в игре обратимы, и после прохождения кампании вы сможете играть в свободном режиме или даже пройти приключение заново!  ",Русский,https://media.lavkaigr.ru/cache/ed/6d/ed6df6634c1bd067fd7653391ee13c56.png,8.08,7.39,https://gaga.ru/gaga/files/images/fullsize/5379/11.jpg,разнообразие действий и комплексность^увлекательная стратегическая гонка^,сюжетная составляющая с легаси-элементами в режиме кампании^,достаточно длительная и масштабная подготовка^тематика практически не ощущается в процессе игры^множество нюансов в правилах^,"Не позволяйте мореплаванию и авантюрам ввести вас в заблуждение, заставляя думать, что это грандиозная приключенческая игра. По сути, Маракайбо – плотное, напряженное, соревновательное евро, и оно великолепно!",https://gaga.ru//gaga/files/pdf/rules/ru/5379-349428.pdf,https://gaga.ru/game/marakajbo/
Марипосас,https://hobbygames.ru/mariposas,https://www.lavkaigr.ru/shop/abstraktnye/mariposas/,https://hobbygames.ru/image/cache/hobbygames_beta/data/Evrikus/Mariposas/mariposas-1000x416-wm.JPG,Жизнь бабочек,"Игры для компании,Стратегические игры",3 990 ,2-5,45+,14+,2022,Эврикус,"Поле миграции и поле жизненного цикла,50 деревянных фишек бабочек (по 10 бабочек каждого цвета),120 жетонов цветков,20 карт целей сезона,16 жетонов заповедников,5 маркеров подсчета очков,Кубик цветков,Правила игры,Вес: 1.53 кг","  Каждую весну миллионы бабочек-монархов покидают Мексику, чтобы распространиться по всей восточной части Северной Америки.    А осенью миллионы бабочек возращаются обратно в Мексику.   Mariposas    - это игра о движении и наборе сетов, которая позволяет игрокам участвовать в этом удивительном путешествии.    Игра в Mariposas    длится три сезона. В общем, ваши бабочки пытаются отправиться на север весной, распространиться летом и вернуться на юг осенью. Конец каждого сезона приносит выигрышный раунд, и в конце осени игрок с самой успешной семьей бабочек, то есть с наибольшим количеством победных очков, выигрывает игру.   Описание игры любезно предоставлено ресурсом tesera.ru  ",Английский,https://media.lavkaigr.ru/cache/86/11/8611b64062f65937a4bc02e82a82e021.png,,,https://gaga.ru/gaga/files/images/fullsize/6622/3.jpg,,,,,https://gaga.ru//gaga/files/pdf/rules/ru/6622.pdf,https://gaga.ru/game/mariopsas/
Маскарад Сказок,https://hobbygames.ru/maskarad-skazok,https://www.lavkaigr.ru/shop/family/the-grimm-masquerade-ru/,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Maskarad_Skazok/Photos/Maskarad_Skazok00-1000x416-wm.jpg,Праздника ждал я давно такого...,"Вечериночные игры,Игры для компании,Карточные игры,Семейные игры",1 692 ,2-5,20-40,8+,2020,Hobby World,"Игровое поле,8 карт персонажей,48 карт предметов,7 карт действий,8 карт пари,8 карт способностей,7 карт-памяток,Жетон ""Маску прочь!"",35 фишек подсказок,35 жетонов роз,3 жетона наград,6 жетонов разбитых зеркал,5 жетонов драгоценностей,Правила игры ,Размер коробки: 255x255x62 мм,Размер малых карт: 63x88 (рекомендуются протекторы из данного раздела,78 шт.),Размер больших карт: 69x119 (рекомендуются протекторы из данного раздела,8 шт.),Вес: 0.68 кг","  В игре  Маскарад Сказок  вам предстоит взять на себя роль обитателей леса сказок, которым выпала удача оказаться в числе приглашенных на бал-маскарад в замке чудовища. Хозяин замка вырастил по случаю торжества прекрасные розы – именно они станут призами в игре, придуманной Чудовищем специально, чтобы развлечь вас. Интересно то, что маски и костюмы вам не пригодятся, ведь лишь перешагнув за порог замка, вы чудесным образом превращаетесь в другого сказочного героя. Чудовище обожает такие шутки. Тем не менее, все спешат на бал, чтобы получить волшебную розу из лап хозяина замка. Для этого вам нужно собирать определенные предметы и избегать артефактов, которые могут обернуться для вас проклятием. Волшебный бал продлится 3 раунда. Цель игроков: собрать максимальное количество жетонов роз. В каждом из раундов игры вы должны будете догадаться, кто остальные участники, и при этом не позволить угадать, кем являетесь вы. В этом вам помогут карты предметов: передавайте их другим игрокам, чтобы заставить их дать вам подсказку, или оставляйте у себя, чтобы собрать выигрышную комбинацию. За каждого разоблачённого соперника вы будете получать жетон розы, а если вы останетесь единственным не узнанным гостем, то получите жетон награды текущего раунда. Победителем игры становится игрок, собравший наибольшее количество жетонов роз.  ",Русский,,6.95,,https://gaga.ru/gaga/files/images/fullsize/5109/10.jpg,,,,,https://gaga.ru//gaga/files/pdf/rules/ru/5109-349725.pdf,https://gaga.ru/game/maskarad-skazok/
Мачи Коро,https://hobbygames.ru/machi-koro,https://www.lavkaigr.ru/shop/family/machi-koro/,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Machi_Koro/2021/Machi-Koro_00-1000x416-wm.jpg,Станьте лучшим градостроителем Японии!,"Выбор настольщика 2022,Мачи Коро,Игры для компании,Карточные игры,Семейные игры,Стратегические игры,Экономические игры",1 290 ,2-5,30-45,7+,2014,Hobby World,"30 стартовых карт,87 карт резерва,60 монет различного номинала,2 кубика,15 стартовых карт из расширения,58 карт резерва из расширения,Правила игры ,Размер коробки: 235х157х45 мм,Размер карт: 56х87 мм,Вес: 0.55 кг","  Добро пожаловать в город Мачи Коро. Вас только что избрали мэром. Поздравляю! К сожалению, у горожан довольно большие требования: рабочие места, тематический парк, пара сыроварен и, возможно, даже радиовышка. Сложное предложение, поскольку в настоящее время город состоит из пшеничного поля и пекарни.   Вооружившись только мечтой, вы должны превратить Мачи Коро в самый большой город в регионе. Вам нужно будет получать доход от застройки, строить общественные здания и воровать из казны ваших соседей. Просто убедитесь, что они не делают того же с вами!   Мачи Коро - это динамичная игра для 2-4 игроков. Каждый игрок хочет развивать город на своих условиях, чтобы завершить все строящиеся достопримечательности быстрее, чем их соперники. В свой ход каждый игрок бросает один или два кубика. Если сумма брошенных кубиков совпадает с номером здания, которым владеет игрок, он получает эффект этого здания; в некоторых случаях противники также выиграют от ваших кубиков (точно так же, как вы можете получить выгоду от их). Затем с деньгами в руках игрок может построить достопримечательность или новое здание, в идеале добавив к богатству своего города в будущих ходах. Побеждает тот, кто первым построит все свои достопримечательности!  ",Русский,https://media.lavkaigr.ru/cache/1d/42/1d42381fd6ba05eae64805cfc46e2239.png,6.61,6.83,https://gaga.ru/gaga/files/images/fullsize/328/12.jpg,,,,"Быстрая семейная стратегия с простыми правилами и отличным дизайном; что может быть лучше для мирного летнего вечера, проведенного в тени сакур за чашечкой зеленого чая? :)",https://gaga.ru//gaga/files/pdf/rules/ru/328-308084.pdf,https://gaga.ru/game/machi-koro/
Маятник,https://hobbygames.ru/majatnik,https://www.lavkaigr.ru/shop/strategicheskie/maiatnik/,https://hobbygames.ru/image/cache/hobbygames_beta/data/CrowD_Games/Mayatnik/HG/Mayatnik-1000x416-wm.jpg,Интриги в реальном времени,"Игры для компании,Стратегические игры",4 490 ,1-5,60-90,14+,2020,Crowd Games,"Игровое поле,Планшет совета,5 двухсторонних планшетов игроков,10 жетонов,Планшет со шкалой времени,3 таймера,15 обычных работников ,10 больших работников,20 фишек ПО,5 шестиугольных маркеров привилегий,5 восьмиугольных маркеров достижений,150 кубиков ресурсов,50 фишек голосов,Фишка славного достижения,Фишка времени,185 карт,Планшет Автомы,Правила игры,Памятка по правилам игры,Памятка по совету,Правилами модуля ""Автома"" ,Размер коробки: 300x300x70 мм,Размер маленьких карт: 44x67 мм (рекомендуются протекторы из данного раздела,71 шт.),Размер квадратных карт: 63x63 мм (56 шт.),Размер карт: 59x91 мм (рекомендуются протекторы из данного раздела,58 шт.),Вес: 2.035 кг","  «Маятник» — по-настоящему необычная игра, в которой одна из механик — управление временем. Да, игровой процесс происходит в режиме реального времени, но победа зависит не от скорости, а от того, насколько хорошо игроки распоряжаются тремя игровыми таймерами, допускающими их соперников к определённым действиям.   Участники выступают в роли влиятельных господ, стремящихся занять трон Вечного Короля, правителя Дюньи. Они будут одновременно рассылать своих людей на задания, расширять области своего влияния и интриговать для того, чтобы продвигаться по четырём победным шкалам: власти, престижу, популярности и славному достижению.   На игровом поле в трёх областях расположены три таймера: 3-минутный, 2-минутный и 45-секундный. Как только время одного из таймеров истечёт, любой игрок сможет переместить его в другой ряд этой же области. Пока таймер находится в ряду, игроки могут воспользоваться своими находящимися там работниками. Хитрость в том, что переместить работников в ряд можно только тогда, когда таймера там нет.   Таким образом, игрокам приходится внимательно следить за таймерами и за соперниками, чтобы планировать свои дальнейшие действия и эффективно перемещать рабочих между областями, пока таймеры неподвижны.   Это уникальный опыт: до этого в истории настольных игр ещё не было такого сочетания механик и участники не могут предугадать, как она будет чувствоваться. Это полноценная стратегия, отдалённо напоминающая, например, «Цолькин», в котором один из ресурсов — это время, только в этом случае, время не условное, а самое настоящее.   В игре есть специальный обучающий пошаговый режим, позволяющий освоиться, прежде чем начинать партию в реальном времени, и одиночный режим. Кроме того, большое количество асимметричных стартовых персонажей делают игру интересной для тех, кто быстро сумел найти одну из множества доступных игровых стратегий.   Описание игры любезно предоставлено ресурсом tesera.ru  ",Русский,https://media.lavkaigr.ru/cache/d9/6b/d96bc5297943db8462349c0ff0a81d20.png,5.0,6.44,https://gaga.ru/gaga/files/images/fullsize/5359/7.jpg,,,,,https://gaga.ru//gaga/files/pdf/rules/ru/5359-345052.pdf,https://gaga.ru/game/mayatnik/
Медвежий Парк,https://hobbygames.ru/medvezhij-park,https://www.lavkaigr.ru/shop/ekonomicheskie/medvezhii-park/,https://hobbygames.ru/image/cache/hobbygames_beta/data/Gaga/Medved_park/Medveji_Park-1000x416-wm.jpg,"Любите их, и они полюбят вас","Игры для компании,Кооперативные игры,Семейные игры,Стратегические игры",1 990 ,2-4,30+,8+,2018,GaGa Games,"52 участка парковой зоны,16 строительных площадок,30 достижений,16 медвежьих статуй,28 участков павильонов,12 участков вольеров,Поле хранения,Правила игры ,Размер коробки: 270х190х65 мм,Вес: 0.98 кг","  Игра Медвежий Парк во многом похожа на популярные Пэчворк и Cottage Garden. Целью игроков снова будет лучше всего заполнить свой игровой планшет различными геометрическими фигурами. На этот раз это будет зоопарк, в котором вы строите вольеры различных видов медведей. Плитки с общего поля в середине стола игроки получают, закрывая клетки с изображениями тачки, бетономешалки и экскаватора на своём планшете. В зависимости от типа закрытой картинки, игрок может выбрать детальки, различные по размерам и ценности. Кроме того, для расширения территории вашего парка нужно закрыть клетку со строителями.   Почти все, что вы делаете во время игры (постройка вольера с медведями, полная застройка каждой из четырех частей вашего зоопарка, выполнение условий бонусных плиток) приносит вам победные очки. Игровой процесс является своего рода гонкой, т.к. чем раньше вы выполните действие, тем больше очков за это получите.   Перед каждой партией из десяти бонусных плиток случайным образом выбираются три. Условия на этих плитках могут существенно повлиять на весь ход игры и гарантируют Медвежьему парку отличную реиграбельность.   Описание игры любезно предоставлено ресурсом tesera.ru  ",Русский,https://media.lavkaigr.ru/cache/bc/1d/bc1d553761fb8f4ec9acba15b8854342.png,,,https://gaga.ru/gaga/files/images/fullsize/3847/25.jpg,,,,Медвежий Парк — это классное семейное развлечение. Элегантное сочетание головоломки на пространственное мышление и стратегического планирования.,https://gaga.ru//gaga/files/pdf/rules/ru/3847-343309.pdf,https://gaga.ru/game/medvezhiy-park/
